,lat,long,dissemination_area,quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
0,45.548858,-73.55555,24662051,3,MONTREAL,H1W1E5,H1W,13,1,1,2, , , , , , , , , , , , , , ,2,4, ,2,1,2,4,4,2,1,2,2,2,1,1,1,2,1,1,3,2,2,2,1,2, ,0.98007152863766
1,45.438942,-73.663464,24663389,4,LACHINE,H8S,H8S,28,1,1,2, , , , , , , , , , , , , , ,6, , ,2,1,4,4,2,2,1,2,9,1,1,3,3,2,1,3,3,1,2,1,1,2, ,0.91357010076408
2,45.6216766544273,-73.6104307855879,24663282,7,SAINT-LAURENT,H1G,H1G,14,1,1,2, , , , , , , , , , , , , , ,4, , ,2,2,3,4,3,2,2,2,2,2,1,1,1,2,1,2,3,1,2,2,1,2, ,0.98007152863766
3,45.592933,-73.559395,24660140,17,MONTREAL,H1M2T8,H1M,13,1,1,1,2, , ,4,1,2,2,2,1,2,1,2,1,1, , , ,3,4,1,4,4,2,0,1,3,1,1,1,1,3,3,1,3,2,1,1,1,1,3,0.81856585972332
4,45.533148,-73.723553,24662477,19,MONTREAL,H4J2L8,H4J,9,1,1,2, , , , , , , , , , , , , , ,5,3, ,3,2,2,2,4,1, ,2,1,1,1,2,2,3,1,1,2,2,2,1,1,2, ,0.81856585972332
5,45.5835803,-73.5421167,24663320,21,LASALLE,H1N,H1N,13,1,1,2, , , , , , , , , , , , , , ,1, , ,3,4,1,1,4,5,0,2,1,1,1,1,1,3,3,1,1,2,2,1,1,2, ,0.81856585972332
6,45.630095,-73.589708,24662836,30,MONTREAL,H1E3J1,H1E,3,1,1,2, , , , , , , , , , , , , , ,4, , ,4,6,1,4,4,3,0,2,1,1,1,1,1,4,4,1,3,2,2,1,1,2, ,0.5614779907308399
7,45.518462,-73.597675,24662111,45,OUTREMONT,H2V3X7,H2V,1,1,1,2, , , , , , , , , , , , , , ,13,1,3,4,4,3,2,4,1, ,1,2,2,1,2,2,4,3,2,2,2,1,2,1,2, ,0.71318334403313
8,45.554799,-73.617388,24662623,46,MONTREAL,H2E1B6,H2E,6,1,1,2, , , , , , , , , , , , , , ,3,1, ,2,1,2,1,4,2,0,2,3,2,1,2,2,2,1,1,1,2,2,2,1,2, ,0.98007152863766
9,45.50176,-73.913292,24663067,51,L'ILE-BIZARD,H9E1P6,H9E,26,1,1,1,2, , ,3,1,2,2,2,2,1,2,2,1,2, , , ,1,3,4,1,4,3,0,1,9,2,1,3,3,1,2,3,1,2,1,2,1,1,2,2.16279574167529
10,45.559743,-73.54564,24662056,58,MONTREAL,H1V3A7,H1V,13,1,1,1,2, , ,2,1,1,2,2,2,2,1,2,1,2, , , ,2,1,4,2,4,4,2,1,6,2,1,1,1,2,1,3,2,2,1,2,1,1,1,0.98007152863766
11,45.553359,-73.558261,24662041,61,MONTREAL,H1X2K2,H1X,4,1,1,2, , , , , , , , , , , , , , ,1, , ,9,1,2,1,4,3,1,1,6,1,1,2,2, ,1,1,1,2,1,1,1,2, ,2.30148156975812
12,45.5552556624569,-73.6174629628658,24662626,72,SAINT-MICHEL,H2E,H2E,6,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,2,4,2,0,1,3,2,1,2,2,3,1,1,2,2,1,2,1,2, ,0.76672607558491
13,45.619782,-73.626447,24662781,78,MONTREAL-NORD,H1G1L1,H1G,14,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,4,1,4,1, ,2,1,2,1,1,1,4,3,3,1,2,2,2,1,2, ,0.71318334403313
14,45.473301,-73.636382,24660634,79,MONTREAL,H3X3R6,H3X,31,1,1,1,2, , ,4,1,1,2,2,2,2,2,2,1,2, , , ,4,4,4,1,4,5,2,1,6,1,1,3,3,4,3,3,1,2,1,1,1,1,3,0.5614779907308399
15,45.652291,-73.50553,24662926,82,MONTREAL,H1B5S5,H1B,17,1,1,2, , , , , , , , , , , , , , ,1,4, ,3,1,3,1,4,1, ,1,2,2,1,1,1,3,1,2,1,2,1,2,1,2, ,0.76672607558491
16,45.573179,-73.582657,24660233,85,SAINT-LEONARD,H1S2P9,H1S,15,1,1,1,1, , ,2,1,2,2,2,1,1,2,1,1,1, , , ,4,4,2,1,4,2,0,2,1,2,1,1,1,4,3,1,1,2,2,2,1,1,1,0.71318334403313
17,45.459998,-73.663247,24660862,89,COTE SAINT-LUC,H4X2A3,H4X,32,1,1,1,2, , ,3,3,2,2,2,1,1,1,2,1,2, , , ,4,4,4,1,4,4,1,1,3,1,1,3,3,4,3,3,1,2,1,1,1,1,2,0.5614779907308399
18,45.65049,-73.506428,24662924,94,POINTE-AUX-TREMBLES,H1B3B9,H1B,17,1,1,1,2, , ,2,3,2,2,2,1,2,2,2,2,2, , , ,2,1,3,4,4,3,1,1,5,2,1,1,1,2,1,2,3,2,1,2,1,1,1,0.98007152863766
19,45.592793,-73.51587,24660089,104,MONTREAL,H1L5S6,H1L,13,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,4,4,4,0,1,2,2,1,1,1,3,1,1,3,2,1,2,1,2, ,0.76672607558491
20,45.612294,-73.613644,24662758,134,MONTREAL-NORD,H1G2L9,H1G,14,1,1,1,2,1, ,4,2,1,2,2,2,2,1,1,1,2, , , ,2,1,4,1,4,2,3,2,6,1,1,1,1,2,1,3,1,2,2,1,1,1,3,0.91357010076408
21,45.585983,-73.581544,24660218,137,SAINT-LEONARD,H1S1E5,H1S,15,1,1,2, , , , , , , , , , , , , , ,5, , ,1,2,3,1,4,1, ,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2, ,2.16279574167529
22,45.545285,-73.592398,24662096,145,MONTREAL,H2G2M8,H2G,4,1,1,1,1, , ,3,1,2,2,2,2,1,1,2,1,2, , , ,1,3,4,2,3,2,0,2,5,2,1,2,2,1,2,3,2,1,2,2,1,1,2,2.16279574167529
23,45.551043,-73.64541,24660495,149,MONTREAL,H2M1X8,H2M,9,1,1,2, , , , , , , , , , , , , , ,9, , ,4,4,1,1,4,2,0,1,9,2,1,2,2,4,3,1,1,2,1,2,1,2, ,0.71318334403313
24,45.628587,-73.615642,24662822,151,MONTREAL,H1E7C6,H1E,3,1,1,2, , , , , , , , , , , , , , ,3,16, ,3,4,4,1,4,2,0,1,4,2,1,1,1,3,3,3,1,2,1,2,1,2, ,0.76672607558491
25,45.522305,-73.696694,24663378,158,SAINT-LAURENT,H4L3B3,H4L,27,1,1,1,2, , ,4,1,1,2,2,2,4,1,1,1,2, , , ,3,1,4,3,4,3,0,1,3,2,1,3,3,3,1,3,2,2,1,2,1,1,3,0.76672607558491
