,address,city,country,description,distanceFromCenter,field1,field8,friendlyUrl,id,lat,long,name,postalCode,province
0,,Montr\xE9al,Canada,"{'AllFields': {'CoverageArea': 'Montr\\xE9al Island', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'variable', 'WebsiteAddress': 'http://ville.montreal.qc.ca/portal/page?_pageid=5798,42657625&_dad=portal&_schema=PORTAL&id=32696&ret=http://ville.montreal.qc.ca/pls/portal/url/page/prt_vdm_fr/rep_annonces_ville/rep_communiques/communiques', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'bam@ville.montreal.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'MONTR\\xC9AL - AIR-CONDITIONED PUBLIC AREAS : Public areas where it is possible to cool off in case of intense heat. Online map:Â\xa0', 'ApplicationProcess': '', 'Phone1Number': '1/1/03'}}",0.0,52272569,TH-2600.1900-180,montreal-air-conditioned-public-areas-52272569,1737041,45.5016889,-73.567256,montr\xE9al - air-conditioned public areas,,QC
1,"2001 Robert-Bourassa Boulevard, Suite 1700",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': ""people diagnosed with Crohn's disease or ulcerative colitis and their relatives"", 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 9h00 to 17h00', 'WebsiteAddress': 'crohnsandcolitis.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'grandmontreal@crohnsandcolitis.ca', 'FeeStructureSource': 'free', 'MetaDescription': ""CROHN'S AND COLITIS CANADA : Research into the cause and curative treatment ofÂ\xa0Crohn's disease and ulcerative colitis.Symposiums and educational webinars.Internet support program offered by peers who have the disease."", 'ApplicationProcess': '', 'Phone1Number': '514 342-0666'}}",0.06829606182914501,18761221,LH-2700.1700 * YF-3000.2240; LH-2700.1700 * YF-3000.8930; TJ-1800.3300-800 * YF-3000.8930; TJ-1800.3300-800 * YF-3000.2240; PX,crohns-and-colitis-canada-18761221,1734285,45.50212,-73.56788,crohn's and colitis canada,H3A 2A6,QC
2,"505 Ren\xE9-L\xE9vesque Boulevard West, Suite 401",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': 'veterans', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h00 to 16h00', 'WebsiteAddress': 'www.lastpostfund.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': 'https://www.youtube.com/embed/oSHMJYw5eoM', 'EmailAddressMain': 'info@lastpost.ca', 'FeeStructureSource': 'free', 'MetaDescription': 'LAST POST FUND : Financial assistance for the funeral, burial and tombstone installation of Canadian veterans.Administration of the National Field of Honour in Pointe-Claire.', 'ApplicationProcess': 'by phone or email', 'Phone1Number': '1 800 465-7113'}}",0.069770825130371,18760932,TM-5100; TD-0300.2000,last-post-fund-18760932,1739101,45.50132,-73.56798,last post fund,H2Z 1Y7,QC
3,"625 Ren\xE9-L\xE9vesque Boulevard West, Suite 1500",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': 'people who are blind or partially sighted', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': '9h00 to 17h00', 'WebsiteAddress': 'www.amitele.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'amitele@ami.ca', 'FeeStructureSource': '', 'MetaDescription': 'ACCESSIBILIT\\xC9 M\\xC9DIA INC. : French-language station broadcasting all described video content.', 'ApplicationProcess': 'digital or satellite cable subscription', 'Phone1Number': '1 844 398-0947'}}",0.089720653341135,31824089,TJ-5500; PH-6200.1850; PH-0600,accessibilite-media-inc-31824089,1735287,45.50249,-73.56712,accessibilit\xE9 m\xE9dia inc.,H3B 1R2,QC
4,"625 Ren\xE9-L\xE9vesque Boulevard West, Suite 1105",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'children, parents, doctors, hospitals', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 9h00 to 17h00', 'WebsiteAddress': 'www.fibrosekystique.ca/quebec', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'info@fkq.ca', 'FeeStructureSource': '', 'MetaDescription': 'CYSTIC FIBROSIS CANADA : Support to research on cystic fibrosis. Promotion of individualized and quality care.', 'ApplicationProcess': '', 'Phone1Number': '1 800 363-7711'}}",0.089720653341135,18760407,TD-1600.2570 * YF-3000.2320,cystic-fibrosis-canada-18760407,1738617,45.50249,-73.56712,cystic fibrosis canada,H3B 1R2,QC
5,"Complexe Guy-Favreau, 200 Ren\xE9-L\xE9vesque Boulevard West, Suite 034",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'downtown', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h00', 'WebsiteAddress': 'www.canada.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': '', 'FeeStructureSource': '', 'MetaDescription': 'SERVICE CANADA CENTRE - MONTR\\xC9AL (DOWNTOWN) : Service centre bringing together programs, services and benefits at the federal level. Â\xa0Applications for Social Insurance Number.Information on the labor market.Job bank.Record of Employment.Annuities.Retireme', 'ApplicationProcess': '', 'Phone1Number': '1 800 622-6232'}}",0.09850761696396701,18766225,TD-0300.2000; NL-1000.2600; NL-1000.6200; NS-1900; NS-7000; ND-6500.9200; DF-7000.3300 * YC-6000; DF-7000.8200; TJ-3200.2500-200; NL-1000.0300; DF-7000.0050-200; DF-7000.6650; DD-1500.4150-200; FN-1500.2050; FN-1900.1500 * YJ-6500; FN-1900.1500 * YJ-6250,service-canada-centre-montreal-downtown-18766225,1736135,45.5011,-73.5682,service canada centre - montr\xE9al (downtown),H2Z 1X4,QC
6,"Complexe Guy-Favreau, 200 Ren\xE9-L\xE9vesque Boulevard West",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': 'people from First Nations and Inuit communities', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': '24-Jul', 'WebsiteAddress': 'www.canada.ca/en/indigenous-services-canada/services/first-nations-inuit-health/health-promotion/mental-health-wellness.html', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': '', 'FeeStructureSource': 'free', 'MetaDescription': 'HEALTH CANADA - MENTAL WELLNESS HELP LINE FOR INDIGENOUS PEOPLES : Crisis phone line. Support and referral.Mental health counselling and crisis intervention on-line chat:Â\xa0', 'ApplicationProcess': '', 'Phone1Number': '1 855 242-3310'}}",0.09850761696396701,52531713,RP-1500.1400-250 * YH-6000.3280; TJ-1800.3300-800 * YH-6000.3280,health-canada-mental-wellness-help-line-for-indigenous-peoples-52531713,1735667,45.5011,-73.5682,health canada - mental wellness help line for indigenous peoples,H2Z 1X4,QC
7,"Complexe Guy-Favreau, 200 Ren\xE9-L\xE9vesque West, Suite 034",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h00', 'WebsiteAddress': 'www.canada.ca/fr/emploi-developpement-social.html', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': '', 'FeeStructureSource': '', 'MetaDescription': 'EMPLOYMENT AND SOCIAL DEVELOPMENT CANADA : Assumes governmental responsibilities relative to employment, income security and social development. Management of federal jurisdiction social programs, namely Old Age Security.Job bank.Work field regulation.', 'ApplicationProcess': '', 'Phone1Number': ''}}",0.09850761696396701,40607283,TD-0300.2000; NS-1900; NL-1000.6200,employment-and-social-development-canada-40607283,1730468,45.5011,-73.5682,employment and social development canada,H2Z 1X4,QC
8,"1080 C\xF4te du Beaver Hall, 10th floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 12h00 and 13h00 to 16h30', 'WebsiteAddress': 'www.protecteurducitoyen.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': 'https://player.vimeo.com/video/234488157?title=0&byline=0&portrait=0', 'EmailAddressMain': 'protecteur@protecteurducitoyen.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'QU\\xC9BEC OMBUDSMAN : Reception of complaints from people who believe they have been unfairly or improperly treated by a department or agency of the Qu\\xE9becÂ\xa0Government or by an institution in the health and social services network (as a second-level recourse)', 'ApplicationProcess': '', 'Phone1Number': '1 800 463-5070'}}",0.163431773553524,18760227,TD-0300.6400; DD-2100; DD-1500.4150-600; DD-1500.4280; DD-1500.1400,quebec-ombudsman-18760227,1735740,45.50247,-73.56548,qu\xE9bec ombudsman,H2Z 1S8,QC
9,"606 Cathcart Street, Suite 505",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'general public, professional technologists', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 12h00 and 13h00 to 16h30', 'WebsiteAddress': 'www.otpq.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'info@otpq.qc.ca', 'FeeStructureSource': '', 'MetaDescription': ""ORDRE DES TECHNOLOGUES PROFESSIONNELS DU QU\\xC9BEC : Professional order. Protection of the public.Promotion and certification of technologists' skills.Professional technologists directory:Â\xa0"", 'ApplicationProcess': '', 'Phone1Number': '1 800 561-3459'}}",0.18206484660990202,18760668,TN-8100.5000,ordre-des-technologues-professionnels-du-quebec-18760668,1734645,45.50277,-73.56901,ordre des technologues professionnels du qu\xE9bec,H3B 1K9,QC
