,ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,long,lat
0,1,Saint-Léonard,Delorme,Bocce,rue Loranger/rue Péguy,,,,orthophotographies,297819.89,5050237.94,-73.589462375603,45.5920117541965
1,2,Saint-Léonard,Delorme,Pavillon,rue Loranger/rue Péguy,,,,orthophotographies,297773.67,5050257.68,-73.59005504946691,45.5921889147626
2,3,Saint-Léonard,Delorme,Pavillon,rue Loranger/rue Péguy,,,,orthophotographies,297774.77,5050256.8,-73.590040938345,45.59218100739079
3,4,Saint-Léonard,Delorme,montagne,rue Loranger/rue Péguy,,,,orthophotographies,297855.21,5050101.09,-73.5890077418093,45.590780693244106
4,5,Saint-Léonard,Delorme,Basketball et soccer,entrée boulevard Robert,,,,orthophotographies,297654.59,5050300.62,-73.5915819002069,45.5925740874714
5,6,Saint-Léonard,Ferland,Pavillon,rue Belcourt /boulevard Lavoisier,,,,orthophotographies,297118.07,5050704.0,-73.59846475305879,45.596198090959504
6,7,Saint-Léonard,Ferland,Piscine,rue Belcourt /boulevard Lavoisier,,,accès restreint,orthophotographies,297138.85,5050685.88,-73.5981981170499,45.596035271573804
7,8,Saint-Léonard,Pie-XII,Bocce,rue Jean-Marie Lefebvre/boul. Lavoisier,,,,orthophotographies,296529.51,5050026.57,-73.6059972563072,45.590095639999106
8,9,Saint-Léonard,Pie-XII,Basketball,rue Dujarié/rue Le Corbusier,,,,orthophotographies,296526.98,5049953.5,-73.6060284435696,45.58943810576321
9,10,Saint-Léonard,Pie-XII,Piscine,rue Dujarié/rue de Nevers,,,accès restreint,orthophotographies,296464.97,5049913.19,-73.60682248493559,45.5890746447919
10,11,Saint-Léonard,Pie-XII,Piscine,rue Dujarié/rue de Nevers,,,accès restreint,orthophotographies,296464.26,5049912.13,-73.6068315662484,45.5890650981076
11,12,Saint-Léonard,Coubertin,Pavillon,rue Valéry/rue Narbonne,,,,orthophotographies,296215.93,5049339.91,-73.6100041217273,45.583913080807505
12,13,Saint-Léonard,Coubertin,Pavillon,rue Valéry/rue Narbonne,,,,orthophotographies,296215.93,5049338.32,-73.6100040937848,45.5838987735332
13,14,Saint-Léonard,Luigi-Pirandello,Bocce,rue Jean-Rivard/rue de Nice,,,,orthophotographies,296717.63,5048690.13,-73.6035641400041,45.5780721805316
14,15,Saint-Léonard,Hébert (Stade),Baseball,rue Colbert/boul. Métropolitain Est,,,,orthophotographies,297450.41,5048206.42,-73.5941673390367,45.57372773784821
15,16,Saint-Léonard,Hébert (Stade),Soccer,rue de Viterbe/rue de Viterbe,,,,orthophotographies,297595.18,5048152.18,-73.5923116621237,45.5732411836133
16,17,Saint-Léonard,Hébert (Stade),Pavillon,rue Colbert/boul. Provencher,,,,orthophotographies,297620.82,5048037.96,-73.5919814726014,45.57221366181721
17,18,Saint-Léonard,Hébert (Stade),Stade (l'entrée sous-sol),rue Colbert/boul. Métropolitain Est,,,,orthophotographies,297518.57,5048198.03,-73.5932939085551,45.5736529585964
18,19,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297589.11,5048062.64,-73.5923881127418,45.5724354122334
19,20,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297587.9,5048061.19,-73.5924035942125,45.5724223521469
20,21,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297575.68,5048086.1,-73.5925605285234,45.572646373263105
21,22,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297577.76,5048084.96,-73.592533862021,45.5726361367813
22,23,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297579.26,5048083.81,-73.5925146265321,45.5726258042923
23,24,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297581.13,5048082.8,-73.5924906525568,45.572616735401404
24,25,Saint-Léonard,Hébert (Parc),Carré de sable,rue Colbert/boul. Provencher,,,,orthophotographies,297575.08,5048019.23,-73.5925672274284,45.5720446501215
25,26,Saint-Léonard,Ladauversière,Bocce,rue de Meudon/boul. Lacordaire,,,,orthophotographies,298274.39,5049047.39,-73.5836212582356,45.581303255285704
26,27,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298309.22,5049078.31,-73.5831753467495,45.581581808452796
27,28,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298350.2,5049103.86,-73.5826505511845,45.581812096063096
28,29,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298358.77,5049108.4,-73.5825407914425,45.5818530277291
