"MTL_Diss_Area_LatLong.FID","MTL_Diss_Area_LatLong.DAUID","MTL_Diss_Area_LatLong.PRUID","MTL_Diss_Area_LatLong.CDUID","MTL_Diss_Area_LatLong.CSDUID","MTL_Diss_Area_LatLong.CSDTYPE","MTL_Diss_Area_LatLong.ERUID","MTL_Diss_Area_LatLong.SACCODE","MTL_Diss_Area_LatLong.SACTYPE","MTL_Diss_Area_LatLong.CMAUID","MTL_Diss_Area_LatLong.CMAPUID","MTL_Diss_Area_LatLong.CMATYPE","MTL_Diss_Area_LatLong.CTUID","MTL_Diss_Area_LatLong.CTNAME","MTL_Diss_Area_LatLong.ADAUID","MTL_Diss_Area_LatLong.Shape_Leng","MTL_Diss_Area_LatLong.Shape_Area","MTL_Diss_Area_LatLong.DAUID_INT","Incomev2.csv.GEO_UID","Incomev2.csv.Med_Total_Inc","Incomev2.csv.Med_AftTax_Inc","Incomev2.csv.Med_Household_Inc","id","Geometry"
"0","24661006","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00869988619185","3.8771077158E-06","24661006","24661006","28032","25045","47744","0","POLYGON ((-73.59641081599995 45.45366557600005, -73.59764000999996 45.45344654500008, -73.59751435499999 45.45307977600004, -73.59716257999997 45.45209100200003, -73.59686857199995 45.45125733900005, -73.59674613199996 45.45092012300006, -73.59661822899994 45.45055758600006, -73.59611440299994 45.45064770400006, -73.59532294799999 45.450794631000065, -73.59546750999993 45.45116491300007, -73.59641081599995 45.45366557600005))"
"1","24661007","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00978369150549","5.5058227831E-06","24661007","24661007","30496","27456","54016","1","POLYGON ((-73.59757024699996 45.45038592100008, -73.59661822899994 45.45055758600006, -73.59674613199996 45.45092012300006, -73.59686857199995 45.45125733900005, -73.59716257999997 45.45209100200003, -73.59751435499999 45.45307977600004, -73.59764000999996 45.45344654500008, -73.59859572999994 45.45327744700006, -73.59944093299998 45.45312692300007, -73.59930925099997 45.45277144800008, -73.59853405699994 45.450591134000035, -73.59841192899995 45.45023661500005, -73.59757024699996 45.45038592100008))"
"2","24661008","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00785797091712","2.63439138824E-06","24661008","24661008","24896","23264","38016","2","POLYGON ((-73.60026215799996 45.45298059700008, -73.60014008699994 45.45262392800004, -73.59942131699995 45.450438330000054, -73.59930045399994 45.45008212300007, -73.59841192899995 45.45023661500005, -73.59853405699994 45.450591134000035, -73.59930925099997 45.45277144800008, -73.59944093299998 45.45312692300007, -73.60026215799996 45.45298059700008))"
"3","24661009","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00992652090662","5.72673964587E-06","24661009","24661009","28544","26496","46123","3","POLYGON ((-73.60019035399995 45.44991914500008, -73.59930045399994 45.45008212300007, -73.59942131699995 45.450438330000054, -73.60014008699994 45.45262392800004, -73.60026215799996 45.45298059700008, -73.60114073699998 45.45281798800005, -73.60217875599994 45.45263869100006, -73.60158838199999 45.451062136000075, -73.60124373599996 45.45007034300005, -73.60113347999999 45.44975837900006, -73.60019035399995 45.44991914500008))"
"4","24661010","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.0118795660132","7.38183271525E-06","24661010","24661010","26576","25296","52096","4","POLYGON ((-73.60302591599998 45.44942596200008, -73.60208133799995 45.44959373000006, -73.60113347999999 45.44975837900006, -73.60124373599996 45.45007034300005, -73.60158838199999 45.451062136000075, -73.60217875599994 45.45263869100006, -73.60310861299996 45.45247003900005, -73.60405759099996 45.45231229600006, -73.60358113499996 45.45101823200008, -73.60453321799997 45.45084191700005, -73.60441610999999 45.450498571000026, -73.60408135399996 45.449565516000064, -73.60397037399997 45.44925863600008, -73.60302591599998 45.44942596200008))"
"5","24661011","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.0148331404214","6.47396253386E-06","24661011","24661011","26944","25003","71424","5","POLYGON ((-73.60243270499996 45.45333222200003, -73.60257424299994 45.453307805000065, -73.60375540099994 45.453097409000065, -73.60457844699994 45.45342137400007, -73.60465143599998 45.453332071000034, -73.60537172899996 45.45244972000006, -73.60586523499995 45.451856571000064, -73.60589863799999 45.45181414100006, -73.60583849299996 45.45178118200005, -73.60570365899997 45.45158915700006, -73.60556921799997 45.45127959600006, -73.60536936199998 45.45069596500008, -73.60524216599998 45.45033972700003, -73.60494391399999 45.44941717000006, -73.60487301999996 45.44909554900005, -73.60397037399997 45.44925863600008, -73.60408135399996 45.449565516000064, -73.60441610999999 45.450498571000026, -73.60453321799997 45.45084191700005, -73.60358113499996 45.45101823200008, -73.60405759099996 45.45231229600006, -73.60310861299996 45.45247003900005, -73.60217875599994 45.45263869100006, -73.60243270499996 45.45333222200003))"
"6","24661012","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.0108535016641","5.53545531655E-06","24661012","24661012","20160","19648","31168","6","POLYGON ((-73.60126774799994 45.45317586600004, -73.60203217499998 45.45535401300003, -73.60216382499993 45.455717951000054, -73.60273567999997 45.45562357700004, -73.60324051399994 45.45554032700005, -73.60311466099995 45.45519465400008, -73.60457844699994 45.45342137400007, -73.60375540099994 45.453097409000065, -73.60257424299994 45.453307805000065, -73.60243270499996 45.45333222200003, -73.60217875599994 45.45263869100006, -73.60114073699998 45.45281798800005, -73.60126774799994 45.45317586600004))"
"7","24661013","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00958236694346","5.1994224885E-06","24661013","24661013","29760","27328","53248","7","POLYGON ((-73.60026215799996 45.45298059700008, -73.59944093299998 45.45312692300007, -73.59956794899995 45.45348074200007, -73.60034574699995 45.455651352000075, -73.60047010199997 45.456009581000046, -73.60127976299998 45.45586597800008, -73.60216382499993 45.455717951000054, -73.60203217499998 45.45535401300003, -73.60126774799994 45.45317586600004, -73.60114073699998 45.45281798800005, -73.60026215799996 45.45298059700008))"
"8","24661014","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00977494565703","5.51330379428E-06","24661014","24661014","28992","26848","48960","8","POLYGON ((-73.59859572999994 45.45327744700006, -73.59764000999996 45.45344654500008, -73.59777408399998 45.45380273500007, -73.59854316899998 45.45597399800005, -73.59866582699993 45.45632274500008, -73.59962549499994 45.45616054100003, -73.60047010199997 45.456009581000046, -73.60034574699995 45.455651352000075, -73.59956794899995 45.45348074200007, -73.59944093299998 45.45312692300007, -73.59859572999994 45.45327744700006))"
"9","24661015","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.00857045762802","3.70520675114E-06","24661015","24661015","25472","24064","39424","9","POLYGON ((-73.59641081599995 45.45366557600005, -73.59748301099995 45.45653793100007, -73.59866582699993 45.45632274500008, -73.59854316899998 45.45597399800005, -73.59777408399998 45.45380273500007, -73.59764000999996 45.45344654500008, -73.59641081599995 45.45366557600005))"
